,wallet,总利润,盈亏比,最大盈利涨幅,最大回撤涨幅,
15,Eyg9cUKPkxKQ6HfipnRjCwZ9cDzY97TebwptWRTU5dLP,1761.506084,10.0518287,1.674920954,-0.082567873,
215,46fnNr16T8DBoxEDRnW8FakcmeA3VpKnR184mmCdFz8d,2525.848713,9.957050676,0.949357436,-0.285531906,
426,H4K5LjkjXVRBsQXJig3xq9L6co6SfoqRiqnih5iohX9A,3264.966313,9.897508926,3.088845448,-0.591429374,
500,AYV7kuzMDJmo8g4qXg2PSbpXS3DNJTm5252bE5rKxex6,2097.47288,9.682151971,1.728060437,-0.614691656,
504,5c8RbYJhpFKthVQ7mdJAkxXo8jvfmf7ySZ6edEuZVRnA,14977.31088,9.532348863,2.791751597,-0.398231809,
211,4MS6LoC4uc5awCbXdgMQSdLbCDQZGWnm8eRsC1qLKXA2,2066.881808,9.530079572,1.279213999,-0.533687576,
455,BULn6dAMbwvXJjHKBjNznAK7E3CXK982F7S5GjcbpBbW,3415.395333,9.306338072,2.521759691,-0.582640768,
353,BfiabaMofJBpu9gPTRzSndsGugdaSH8hWv1KACHt7XWX,2548.915275,9.251603754,2.63158186,-0.543514951,
248,5DsNusNEfHLwT7RVBVFe1zK8WV7f225f8yaJ15qHHe6t,759.3572768,9.174829718,5.304994115,-0.588217736,
392,5xKx2ui7N6sARAaM5wYL6SPZEzzauWqCTDTwhBiBVsov,1265.910901,9.045044231,2.362324903,-0.224609879,
